segment_id	reference	text
pli-tv-bu-vb-ay1:2.2.22	pts-vp-pli3.190	pts-vp-pli
pli-tv-bu-vb-ay1:2.2.40	cck1.426	cck
pli-tv-bu-vb-ay1:2.2.40	km2.358	km
pli-tv-bu-vb-ay1:2.2.40	ms1V_1821	ms
pli-tv-bu-vb-ay1:2.2.40	msdiv448	msdiv
pli-tv-bu-vb-ay1:2.2.40	sya1.436	sya
pli-tv-bu-vb-ay1:2.2.49	dr1.382	dr
pli-tv-bu-vb-ay1:2.2.49	mc1.336	mc
pli-tv-bu-vb-ay1:2.2.49	ms1V_1822	ms
pli-tv-bu-vb-ay1:2.2.49	vri87.296	vri
pli-tv-bu-vb-ay1:2.2.58	bj1.490	bj
pli-tv-bu-vb-ay1:2.2.58	csp1ed1.289	csp1ed
pli-tv-bu-vb-ay1:2.2.58	csp2ed1.289	csp2ed
pli-tv-bu-vb-ay1:2.2.58	km2.359	km
pli-tv-bu-vb-ay1:2.2.58	ms1V_1823	ms
pli-tv-bu-vb-ay1:2.2.58	msdiv449	msdiv
pli-tv-bu-vb-ay1:2.2.65	cck1.427	cck
pli-tv-bu-vb-ay1:2.2.65	ms1V_1824	ms
pli-tv-bu-vb-ay1:2.2.65	msdiv450	msdiv
pli-tv-bu-vb-ay1:2.2.66	pts-vp-en1.335	pts-vp-en
pli-tv-bu-vb-ay1:2.2.72	ms1V_1825	ms
pli-tv-bu-vb-ay1:2.2.72	ndp1.282	ndp
pli-tv-bu-vb-ay1:2.2.72	sya1.437	sya
pli-tv-bu-vb-ay1:3.1	km2.360	km
pli-tv-bu-vb-ay1:3.1	ms1V_1826	ms
pli-tv-bu-vb-ay1:3.1	msdiv451	msdiv
pli-tv-bu-vb-ay1:3.1	pts-cs3	pts-cs
pli-tv-bu-vb-ay1:3.5	dr1.383	dr
pli-tv-bu-vb-ay1:3.5	ms1V_1827	ms
pli-tv-bu-vb-ay1:3.5	pts-vp-pli3.191	pts-vp-pli
pli-tv-bu-vb-ay1:3.9	ms1V_1828	ms
pli-tv-bu-vb-ay2:1.1	bj1.492	bj
pli-tv-bu-vb-ay2:1.1	cck1.428	cck
pli-tv-bu-vb-ay2:1.1	csp1ed1.290	csp1ed
pli-tv-bu-vb-ay2:1.1	csp2ed1.290	csp2ed
pli-tv-bu-vb-ay2:1.1	km2.361	km
pli-tv-bu-vb-ay2:1.1	km2.362	km
pli-tv-bu-vb-ay2:1.1	mc1.337	mc
pli-tv-bu-vb-ay2:1.1	ms1V_1829	ms
pli-tv-bu-vb-ay2:1.1	msdiv452	msdiv
pli-tv-bu-vb-ay2:1.1	ndp1.283	ndp
pli-tv-bu-vb-ay2:1.1	pts-cs1	pts-cs
pli-tv-bu-vb-ay2:1.1	pts-vp-en1.336	pts-vp-en
pli-tv-bu-vb-ay2:1.1	sya1.438	sya
pli-tv-bu-vb-ay2:1.1	vri87.297	vri
pli-tv-bu-vb-ay2:1.12	cck1.429	cck
pli-tv-bu-vb-ay2:1.12	dr1.384	dr
pli-tv-bu-vb-ay2:1.12	ms1V_1830	ms
pli-tv-bu-vb-ay2:1.12	sya1.439	sya
pli-tv-bu-vb-ay2:1.19.1	km2.363	km
pli-tv-bu-vb-ay2:1.19.1	mc1.338	mc
pli-tv-bu-vb-ay2:1.19.1	ms1V_1831	ms
pli-tv-bu-vb-ay2:1.19.1	msdiv453	msdiv
pli-tv-bu-vb-ay2:1.19.1	pts-vp-pli3.192	pts-vp-pli
pli-tv-bu-vb-ay2:1.20	pts-vp-en1.337	pts-vp-en
pli-tv-bu-vb-ay2:2.1.1	ms1V_1832	ms
pli-tv-bu-vb-ay2:2.1.1	msdiv454	msdiv
pli-tv-bu-vb-ay2:2.1.1	pts-cs2.1	pts-cs
pli-tv-bu-vb-ay2:2.1.1	vri87.298	vri
pli-tv-bu-vb-ay2:2.1.3	csp1ed1.291	csp1ed
pli-tv-bu-vb-ay2:2.1.3	csp2ed1.291	csp2ed
pli-tv-bu-vb-ay2:2.1.3	ms1V_1833	ms
pli-tv-bu-vb-ay2:2.1.5	cck1.430	cck
pli-tv-bu-vb-ay2:2.1.5	ms1V_1834	ms
pli-tv-bu-vb-ay2:2.1.7	km2.364	km
pli-tv-bu-vb-ay2:2.1.7	ms1V_1835	ms
pli-tv-bu-vb-ay2:2.1.7	sya1.440	sya
pli-tv-bu-vb-ay2:2.1.11	dr1.385	dr
pli-tv-bu-vb-ay2:2.1.11	ms1V_1836	ms
pli-tv-bu-vb-ay2:2.1.11	ndp1.284	ndp
pli-tv-bu-vb-ay2:2.1.13	ms1V_1837	ms
pli-tv-bu-vb-ay2:2.1.15	ms1V_1838	ms
pli-tv-bu-vb-ay2:2.1.17	ms1V_1839	ms
pli-tv-bu-vb-ay2:2.1.19	ms1V_1840	ms
pli-tv-bu-vb-ay2:2.1.25	bj1.494	bj
pli-tv-bu-vb-ay2:2.1.25	ms1V_1841	ms
pli-tv-bu-vb-ay2:2.1.29	km2.365	km
pli-tv-bu-vb-ay2:2.1.29	mc1.339	mc
pli-tv-bu-vb-ay2:2.1.29	ms1V_1842	ms
pli-tv-bu-vb-ay2:2.1.29	vri87.299	vri
pli-tv-bu-vb-ay2:2.1.31	ms1V_1843	ms
pli-tv-bu-vb-ay2:2.1.33	ms1V_1844	ms
pli-tv-bu-vb-ay2:2.2.1	cck1.431	cck
pli-tv-bu-vb-ay2:2.2.1	ms1V_1845	ms
pli-tv-bu-vb-ay2:2.2.1	pts-cs2.2	pts-cs
pli-tv-bu-vb-ay2:2.2.1	pts-vp-en1.338	pts-vp-en
pli-tv-bu-vb-ay2:2.2.4	csp1ed1.292	csp1ed
pli-tv-bu-vb-ay2:2.2.4	csp2ed1.292	csp2ed
pli-tv-bu-vb-ay2:2.2.4	dr1.386	dr
pli-tv-bu-vb-ay2:2.2.4	km2.366	km
pli-tv-bu-vb-ay2:2.2.4	ms1V_1846	ms
pli-tv-bu-vb-ay2:2.2.4	msdiv455	msdiv
pli-tv-bu-vb-ay2:2.2.4	sya1.441	sya
pli-tv-bu-vb-ay2:2.2.16	cck1.432	cck
pli-tv-bu-vb-ay2:2.2.16	ms1V_1847	ms
pli-tv-bu-vb-ay2:2.2.16	ndp1.285	ndp
pli-tv-bu-vb-ay2:2.2.16	pts-vp-pli3.193	pts-vp-pli
pli-tv-bu-vb-ay2:2.2.25	dr1.387	dr
pli-tv-bu-vb-ay2:2.2.25	km2.367	km
pli-tv-bu-vb-ay2:2.2.25	mc1.340	mc
pli-tv-bu-vb-ay2:2.2.25	ms1V_1848	ms
pli-tv-bu-vb-ay2:2.2.25	sya1.442	sya
pli-tv-bu-vb-ay2:2.2.25	vri87.300	vri
pli-tv-bu-vb-ay2:2.2.37	bj1.496	bj
pli-tv-bu-vb-ay2:2.2.37	ms1V_1849	ms
pli-tv-bu-vb-ay2:2.2.37	pts-vp-en1.339	pts-vp-en
pli-tv-bu-vb-ay2:2.2.46	cck1.433	cck
pli-tv-bu-vb-ay2:2.2.46	km2.368	km
pli-tv-bu-vb-ay2:2.2.46	ms1V_1850	ms
pli-tv-bu-vb-ay2:2.2.46	msdiv456	msdiv
pli-tv-bu-vb-ay2:2.2.53	csp1ed1.293	csp1ed
pli-tv-bu-vb-ay2:2.2.53	csp2ed1.293	csp2ed
pli-tv-bu-vb-ay2:2.2.53	ms1V_1851	ms
pli-tv-bu-vb-ay2:2.2.53	sya1.443	sya
pli-tv-bu-vb-ay2:2.2.60	ms1V_1852	ms
pli-tv-bu-vb-ay2:2.2.62	ms1V_1853	ms
pli-tv-bu-vb-ay2:3.1	dr1.388	dr
pli-tv-bu-vb-ay2:3.1	km2.369	km
pli-tv-bu-vb-ay2:3.1	mc1.341	mc
pli-tv-bu-vb-ay2:3.1	ms1V_1854	ms
pli-tv-bu-vb-ay2:3.1	msdiv457	msdiv
pli-tv-bu-vb-ay2:3.1	pts-cs3	pts-cs
pli-tv-bu-vb-ay2:3.5	ms1V_1855	ms
pli-tv-bu-vb-ay2:3.5	ndp1.286	ndp
pli-tv-bu-vb-ay2:3.5	vri87.301	vri
pli-tv-bu-vb-ay2:3.9	ms1V_1856	ms
pli-tv-bu-vb-ay2:3.10	cck1.434	cck
pli-tv-bu-vb-ay2:3.10	km2.370	km
pli-tv-bu-vb-ay2:3.10	ms1V_1857	ms
pli-tv-bu-vb-ay2:3.10	msdiv458	msdiv
pli-tv-bu-vb-ay2:3.10	pts-vp-en1.340	pts-vp-en
pli-tv-bu-vb-ay2:3.10	pts-vp-pli3.194	pts-vp-pli
pli-tv-bu-vb-ay2:3.10	sya1.444	sya
pli-tv-bu-vb-ay2:3.20	ms1V_1858	ms
pli-tv-bu-vb-ay2:3.21	ms1V_1859	ms
pli-tv-bu-vb-ay2:3.25	ms1V_1860	ms
pli-tv-bu-vb-np1:0.6	bj1.498	bj
pli-tv-bu-vb-np1:0.6	cck2.1	cck
pli-tv-bu-vb-np1:0.6	csp1ed1.294	csp1ed
pli-tv-bu-vb-np1:0.6	csp2ed1.294	csp2ed
pli-tv-bu-vb-np1:0.6	dr2.1	dr
pli-tv-bu-vb-np1:0.6	km3.1	km
pli-tv-bu-vb-np1:0.6	mc2.1	mc
pli-tv-bu-vb-np1:0.6	ms1V_1861	ms
pli-tv-bu-vb-np1:0.6	ndp1.287	ndp
pli-tv-bu-vb-np1:0.6	pts-vp-en2.1	pts-vp-en
pli-tv-bu-vb-np1:0.6	pts-vp-pli3.195	pts-vp-pli
pli-tv-bu-vb-np1:0.6	sya2.1	sya
pli-tv-bu-vb-np1:0.6	vri87.302	vri
pli-tv-bu-vb-np1:1.1	km3.2	km
pli-tv-bu-vb-np1:1.1	ms1V_1862	ms
pli-tv-bu-vb-np1:1.1	msdiv459	msdiv
pli-tv-bu-vb-np1:1.1	pts-cs1	pts-cs
pli-tv-bu-vb-np1:1.3	pts-vp-en2.2	pts-vp-en
pli-tv-bu-vb-np1:1.6	cck2.2	cck
pli-tv-bu-vb-np1:1.6	dr2.2	dr
pli-tv-bu-vb-np1:1.6	km3.3	km
pli-tv-bu-vb-np1:1.6	mc2.2	mc
pli-tv-bu-vb-np1:1.6	ms1V_1863	ms
pli-tv-bu-vb-np1:1.6	sya2.2	sya
pli-tv-bu-vb-np1:1.10	pts-vp-en2.3	pts-vp-en
pli-tv-bu-vb-np1:1.13.1	ms1V_1864	ms
pli-tv-bu-vb-np1:1.13.1	msdiv460	msdiv
pli-tv-bu-vb-np1:1.14	ms1V_1865	ms
pli-tv-bu-vb-np1:1.14	pts-vp-en2.4	pts-vp-en
pli-tv-bu-vb-np1:1.14	vri87.303	vri
pli-tv-bu-vb-np1:2.1.1	csp1ed1.295	csp1ed
pli-tv-bu-vb-np1:2.1.1	csp2ed1.295	csp2ed
pli-tv-bu-vb-np1:2.1.1	km3.4	km
pli-tv-bu-vb-np1:2.1.1	ms1V_1866	ms
pli-tv-bu-vb-np1:2.1.1	msdiv461	msdiv
pli-tv-bu-vb-np1:2.1.1	ndp1.288	ndp
pli-tv-bu-vb-np1:2.1.1	pts-vp-pli3.196	pts-vp-pli
pli-tv-bu-vb-np1:2.1.1	pts-cs2	pts-cs
pli-tv-bu-vb-np1:2.17.1	bj1.500	bj
pli-tv-bu-vb-np1:2.17.1	ms1V_1867	ms
pli-tv-bu-vb-np1:2.17.1	msdiv462	msdiv
pli-tv-bu-vb-np1:2.17.1	pts-vp-en2.5	pts-vp-en
pli-tv-bu-vb-np1:2.17.1	sya2.3	sya
pli-tv-bu-vb-np1:3.1.1	dr2.3	dr
pli-tv-bu-vb-np1:3.1.1	ms1V_1868	ms
pli-tv-bu-vb-np1:3.1.1	msdiv463	msdiv
pli-tv-bu-vb-np1:3.1.1	pts-cs3.1	pts-cs
pli-tv-bu-vb-np1:3.1.1	pts-vp-en2.6	pts-vp-en
pli-tv-bu-vb-np1:3.1.3	cck2.3	cck
pli-tv-bu-vb-np1:3.1.3	mc2.3	mc
